unit,suite,category,encoder,threads,seconds,bytes,audio_bytes,raw_bytes,channels,sample_rate
sqam/17,sqam,single-instrument,vinyl -j4,4,0.0256675,1657852,1657810,4057200,2,44100
sqam/17,sqam,single-instrument,vinyl -j8,8,0.016304375,1657852,1657810,4057200,2,44100
sqam/17,sqam,single-instrument,vinyl decode -j1,1,0.06036875,1657852,1657810,4057200,2,44100
sqam/17,sqam,single-instrument,vinyl decode -j2,2,0.033441417,1657852,1657810,4057200,2,44100
sqam/17,sqam,single-instrument,vinyl decode -j4,4,0.019898667,1657852,1657810,4057200,2,44100
sqam/17,sqam,single-instrument,vinyl decode -j8,8,0.014280125,1657852,1657810,4057200,2,44100
sqam/17,sqam,single-instrument,flac decode -j1,1,0.0182655,1657852,1657810,4057200,2,44100
sqam/17,sqam,single-instrument,flac -8 -j1,1,0.053039334,1546913,1538573,4057200,2,44100
sqam/17,sqam,single-instrument,flac -8 -j2,2,0.029581125,1546913,1538573,4057200,2,44100
sqam/17,sqam,single-instrument,flac -8 -j4,4,0.017503083,1546913,1538573,4057200,2,44100
sqam/17,sqam,single-instrument,flac -8 -j8,8,0.012023,1546913,1538573,4057200,2,44100
sqam/17,sqam,single-instrument,flac -5 -j1,1,0.027946875,1554288,1545948,4057200,2,44100
sqam/18,sqam,single-instrument,vinyl -j1,1,0.127319167,2025834,2025792,6703200,2,44100
sqam/18,sqam,single-instrument,vinyl -j2,2,0.06618375,2025834,2025792,6703200,2,44100
sqam/18,sqam,single-instrument,vinyl -j4,4,0.035879,2025834,2025792,6703200,2,44100
sqam/18,sqam,single-instrument,vinyl -j8,8,0.022036416,2025834,2025792,6703200,2,44100
sqam/18,sqam,single-instrument,vinyl decode -j1,1,0.088315542,2025834,2025792,6703200,2,44100
sqam/18,sqam,single-instrument,vinyl decode -j2,2,0.047421667,2025834,2025792,6703200,2,44100
sqam/18,sqam,single-instrument,vinyl decode -j4,4,0.027459792,2025834,2025792,6703200,2,44100
sqam/18,sqam,single-instrument,vinyl decode -j8,8,0.018504166,2025834,2025792,6703200,2,44100
sqam/18,sqam,single-instrument,flac decode -j1,1,0.027556625,2025834,2025792,6703200,2,44100
sqam/18,sqam,single-instrument,flac -8 -j1,1,0.078452084,1894896,1886538,6703200,2,44100
sqam/18,sqam,single-instrument,flac -8 -j2,2,0.042843,1894896,1886538,6703200,2,44100
sqam/18,sqam,single-instrument,flac -8 -j4,4,0.024608,1894896,1886538,6703200,2,44100
sqam/18,sqam,single-instrument,flac -8 -j8,8,0.015932,1894896,1886538,6703200,2,44100
sqam/18,sqam,single-instrument,flac -5 -j1,1,0.041197125,1911374,1903016,6703200,2,44100
sqam/19,sqam,single-instrument,vinyl -j1,1,0.078207083,1229579,1229537,3880800,2,44100
sqam/19,sqam,single-instrument,vinyl -j2,2,0.041481417,1229579,1229537,3880800,2,44100
sqam/19,sqam,single-instrument,vinyl -j4,4,0.023323375,1229579,1229537,3880800,2,44100
sqam/19,sqam,single-instrument,vinyl -j8,8,0.015260041,1229579,1229537,3880800,2,44100
sqam/19,sqam,single-instrument,vinyl decode -j1,1,0.05509175,1229579,1229537,3880800,2,44100
sqam/19,sqam,single-instrument,vinyl decode -j2,2,0.030471833,1229579,1229537,3880800,2,44100
sqam/19,sqam,single-instrument,vinyl decode -j4,4,0.018421791,1229579,1229537,3880800,2,44100
sqam/19,sqam,single-instrument,vinyl decode -j8,8,0.013341209,1229579,1229537,3880800,2,44100
sqam/19,sqam,single-instrument,flac decode -j1,1,0.01782875,1229579,1229537,3880800,2,44100
sqam/19,sqam,single-instrument,flac -8 -j1,1,0.050492625,1156091,1147751,3880800,2,44100
sqam/19,sqam,single-instrument,flac -8 -j2,2,0.028442833,1156091,1147751,3880800,2,44100
sqam/19,sqam,single-instrument,flac -8 -j4,4,0.016849625,1156091,1147751,3880800,2,44100
sqam/19,sqam,single-instrument,flac -8 -j8,8,0.012096958,1156091,1147751,3880800,2,44100
sqam/19,sqam,single-instrument,flac -5 -j1,1,0.026609292,1162046,1153706,3880800,2,44100
sqam/20,sqam,single-instrument,vinyl -j1,1,0.131541458,2230765,2230723,6879600,2,44100
sqam/20,sqam,single-instrument,vinyl -j2,2,0.068329792,2230765,2230723,6879600,2,44100
sqam/20,sqam,single-instrument,vinyl -j4,4,0.037239125,2230765,2230723,6879600,2,44100
sqam/20,sqam,single-instrument,vinyl -j8,8,0.022614417,2230765,2230723,6879600,2,44100
sqam/20,sqam,single-instrument,vinyl decode -j1,1,0.09286625,2230765,2230723,6879600,2,44100
sqam/20,sqam,single-instrument,vinyl decode -j2,2,0.049798125,2230765,2230723,6879600,2,44100
sqam/20,sqam,single-instrument,vinyl decode -j4,4,0.028507666,2230765,2230723,6879600,2,44100
sqam/20,sqam,single-instrument,vinyl decode -j8,8,0.019065417,2230765,2230723,6879600,2,44100
sqam/20,sqam,single-instrument,flac decode -j1,1,0.027684042,2230765,2230723,6879600,2,44100
sqam/20,sqam,single-instrument,flac -8 -j1,1,0.081717417,2097849,2089491,6879600,2,44100
sqam/20,sqam,single-instrument,flac -8 -j2,2,0.0442325,2097849,2089491,6879600,2,44100
sqam/20,sqam,single-instrument,flac -8 -j4,4,0.024867042,2097849,2089491,6879600,2,44100
sqam/20,sqam,single-instrument,flac -8 -j8,8,0.016976917,2097849,2089491,6879600,2,44100
sqam/20,sqam,single-instrument,flac -5 -j1,1,0.041458708,2112293,2103935,6879600,2,44100
sqam/21,sqam,single-instrument,vinyl -j1,1,0.117207791,1618955,1618913,6350400,2,44100
